Name,Type,City,District,Ownership
Smt. Sarojini Devi Women's Degree College,Womens Degree College,,Adilabad,Private Unaided
SVS Degree College,Degree College,,Adilabad,Private Unaided
Saraswathi Degree College,Degree College,,Adilabad,Private Unaided
Adilabad B.Ed. College,B.Ed College,Adilabad,Adilabad,Private Unaided
Kaloji Narayana Rao B.Ed. College,B.Ed College,,Adilabad,Private Unaided
Sai Padma B.Ed. College,B.Ed College,,Adilabad,Private Unaided
Siddhartha B.Ed. College,B.Ed College,,Adilabad,Private Unaided
Government ITI (ITI Adilabad),Government ITI,Adilabad,Adilabad,Government
Vivekananda ITI,Private ITI,,Adilabad,Private Unaided
Sri Chaitanya ITI,Private ITI,,Adilabad,Private Unaided
Kakatiya Law College,Law College,,Adilabad,Private Unaided
Government Degree College (Autonomous),Government Degree College,Bhadrachalam,Bhadradri Kothagudem,Government
Government Degree College (Autonomous),Government Degree College,Paloncha,Bhadradri Kothagudem,Government
Government Degree College,Government Degree College,Aswarapet,Bhadradri Kothagudem,Government
Government Degree College,Government Degree College,Manuguru,Bhadradri Kothagudem,Government
Government Degree College,Government Degree College,Yellandu,Bhadradri Kothagudem,Government
SR Government Arts & Science College,Government Degree College,Kothagudem,Bhadradri Kothagudem,Government
TSWRDCW (Telangana Social Welfare Residential Degree College for Women),Residential Degree College,Kothagudem,Bhadradri Kothagudem,Government Social Welfare
TTWRDC (Telangana Tribal Welfare Residential Degree College),Residential Degree College Boys,Manuguru,Bhadradri Kothagudem,Government Tribal Welfare
TTWRDC (Telangana Tribal Welfare Residential Degree College),Residential Degree College Girls,Dammapeta Ankampalem,Bhadradri Kothagudem,Government Tribal Welfare
TTWRDC (Telangana Tribal Welfare Residential Degree College),Residential Degree College Girls,Kothagudem,Bhadradri Kothagudem,Government Tribal Welfare
MJPTCBW Residential Degree College,Residential Degree College Men,Kothagudem,Bhadradri Kothagudem,Government TBCW
Singareni Collieries Womens Degree College,Private Aided Degree College,Kothagudem,Bhadradri Kothagudem,Private Aided
K U College of Engineering,Engineering College,Kothagudem,Bhadradri Kothagudem,University College
Anu Bose Institute of Technology,Engineering College,Bhadradri Kothagudem,Bhadradri Kothagudem,Private Unaided
Abdul Kalam Institute of Technological Sciences,Engineering College,Bhadradri Kothagudem,Bhadradri Kothagudem,Private Unaided
K.L.R. College of Engineering and Technology,Engineering College,Bhadradri Kothagudem,Bhadradri Kothagudem,Private Unaided
Dhanvanthari Institute of Pharmaceutical Sciences,Pharmacy College,Bhadradri Kothagudem,Bhadradri Kothagudem,Private Unaided
Government Medical College,Medical College,Bhadradri Kothagudem,Bhadradri Kothagudem,Government
Government College of Nursing,Nursing College,Kothagudem,Bhadradri Kothagudem,Government
Maruthi College of Nursing,Nursing College,Bhadradri Kothagudem,Bhadradri Kothagudem,Private Unaided
Maruthi Paramedical Academy,Paramedical College,Bhadradri Kothagudem,Bhadradri Kothagudem,Private Unaided
KLR College of Physiotherapy,Physiotherapy College,Bhadradri Kothagudem,Bhadradri Kothagudem,Private Unaided
Triveni Degree College,Degree College,Bhadrachalam,Bhadradri Kothagudem,Private Unaided
Mother Theresa Degree College,Degree College,Bhadrachalam,Bhadradri Kothagudem,Private Unaided
Surya Degree College,Degree College,Chandrugonda,Bhadradri Kothagudem,Private Unaided
Priyadarshini Degree & PG College,Degree College,Kothagudem,Bhadradri Kothagudem,Private Unaided
Sri Maanvitha Degree College,Degree College,Laxmidevipally Kothagudem,Bhadradri Kothagudem,Private Unaided
Krishnaveni Saahiti Degree College,Degree College,Lakshmidevipally Kothagudem,Bhadradri Kothagudem,Private Unaided
National Degree & PG College,Degree College,Paloncha,Bhadradri Kothagudem,Private Unaided
KLR Degree College,Degree College,Paloncha,Bhadradri Kothagudem,Private Unaided
Saahithi Degree College of Science & Arts,Degree College,Yellandu,Bhadradri Kothagudem,Private Unaided
Sri Chaithanya Degree College,Degree College,Yellandu,Bhadradri Kothagudem,Private Unaided
Gowthami Degree College,Degree College,Charla,Bhadradri Kothagudem,Private Unaided
S.R.R.V.R.K.R. Degree College,Degree College,Venkatapuram,Bhadradri Kothagudem,Private Unaided
DVK Degree College,Degree College,Aswaraopeta,Bhadradri Kothagudem,Private Unaided
Kakatiya Government College Autonomous,Government Degree College,Hanamkonda,Hanamkonda,Government
Pingle Government College for Women Autonomous,Government Degree College Women,Waddepally Hanamkonda,Hanamkonda,Government
Government Degree College,Government Degree College,Parkal,Hanamkonda,Government
TSWDRCW Telangana Social Welfare Residential Degree College for Women,Residential Degree College,Warangal East,Hanamkonda,Government Social Welfare
University Arts & Science College,University Degree College,Subedari Hanamkonda,Hanamkonda,University
Kakatiya Institute of Technology and Science,Engineering College,Hasanparthy,Hanamkonda,Private Unaided
Chaitanya Deemed to be University,Deemed University,Kishanpura Hanamkonda,Hanamkonda,Deemed
Chaitanya Institute of Technology and Science,Engineering College,Kishanpura Hanamkonda,Hanamkonda,Private Unaided
Chaitanya Postgraduate College Autonomous,Postgraduate College,Kishanpura Hanamkonda,Hanamkonda,Private Unaided
Chaitanya Degree College Autonomous,Degree College,Kishanpura Hanamkonda,Hanamkonda,Private Unaided
Islamia Arts and Science College,Degree College,Warangal,Hanamkonda,Private Aided
Lal Bahadur College,Degree College,Warangal,Hanamkonda,Private Aided
JMJ Degree College for Women,Degree College Women,Karunapuram Peddapendial,Hanamkonda,Private Unaided
JMJ Degree & PG College,Degree & PG College,Peddapendial,Hanamkonda,Private Unaided
Kakatiya Mahila Degree College,Degree College Women,Nakkalagutta Hanamkonda,Hanamkonda,Private Unaided
Masterji Degree & PG College,Degree & PG College,Hunter Road Hanamkonda,Hanamkonda,Private Unaided
New Science Degree & PG College,Degree & PG College,Hunter Road Hanamkonda,Hanamkonda,Private Unaided
New Science Degree College,Degree College,Hanamkonda,Hanamkonda,Private Unaided
SN Degree College,Degree College,Nakkalagutta Hanamkonda,Hanamkonda,Private Unaided
SR Degree & PG College,Degree & PG College,Balasamudram Hanamkonda,Hanamkonda,Private Unaided
SVS Degree & PG College,Degree & PG College,Ramaram Hanamkonda,Hanamkonda,Private Unaided
SVS PG College,PG College,Ramaram Hanamkonda,Hanamkonda,Private Unaided
Sri Arunodaya Degree & PG College,Degree & PG College,Bheemaram,Hanamkonda,Private Unaided
Sri Gayathri Degree College,Degree College,Ramnagar Hanamkonda,Hanamkonda,Private Unaided
Bhargavi Degree & PG College,Degree & PG College,Kishanpura Hanamkonda,Hanamkonda,Private Unaided
Vaagdevi Degree & PG College,Degree & PG College,Ramnagar Hanamkonda,Hanamkonda,Private Unaided
RD Women's Degree College,Degree College Women,Kishanpura Hanamkonda,Hanamkonda,Private Unaided
Aurora Degree College,Degree College,Vidyaranyapuri Hanamkonda,Hanamkonda,Private Unaided
Goutham Degree College,Degree College,Subedari Hanamkonda,Hanamkonda,Private Unaided
Gitanjali Degree College for Women,Degree College Women,Naimnagar Hanamkonda,Hanamkonda,Private Unaided
Shaarvani Degree College,Degree College,Kishanpura Hanamkonda,Hanamkonda,Private Unaided
Jaya Degree College,Degree College,Nakkalagutta Hanamkonda,Hanamkonda,Private Unaided
SVS Junior College Boys,Junior College,Hanamkonda,Hanamkonda,Private Unaided
SVS Junior College for Girls,Junior College Women,Hanamkonda,Hanamkonda,Private Unaided
Kakatiya Junior College Girls,Junior College Women,Hanamkonda,Hanamkonda,Private Unaided
Ekashila Junior College,Junior College,Hanumam Nagar Hanamkonda,Hanamkonda,Private Unaided
Sri Balaji Junior College,Junior College,Hanamkonda,Hanamkonda,Private Unaided
Vikash Junior College,Junior College,Hanamkonda,Hanamkonda,Private Unaided
CV Raman Junior College,Junior College,Hanamkonda,Hanamkonda,Private Unaided
Vignan Junior College,Junior College,Hanamkonda,Hanamkonda,Private Unaided
Trishool Junior College,Junior College,Hanamkonda,Hanamkonda,Private Unaided
Vagdevi Junior College,Junior College,Nakkalagutta,Hanamkonda,Private Unaided
Shivani Junior College,Junior College,Hanamkonda,Hanamkonda,Private Unaided
Sumathidevi Junior College for Girls,Junior College Women,Waddepally Hanamkonda,Hanamkonda,Private Unaided
Jai Bharathi Junior College,Junior College,Nakkalagutta Hanamkonda,Hanamkonda,Private Unaided
Shanthi Niketan Junior College,Junior College,Hanamkonda,Hanamkonda,Private Unaided
Sadhan Junior College,Junior College,Bheemaram Hanamkonda,Hanamkonda,Private Unaided
Hindu Junior College,Junior College,Excise Colony Hanamkonda,Hanamkonda,Private Unaided
Sri Vikas Junior College,Junior College,Vijaya Talkies Road Hanamkonda,Hanamkonda,Private Unaided
Manjeera Junior College,Junior College,Hanamkonda,Hanamkonda,Private Unaided
Sir CV Raman Junior College,Junior College,Pochamma Maidan Warangal,Hanamkonda,Private Unaided
Sneha Junior College,Junior College,Hanamkonda,Hanamkonda,Private Unaided
Padmavathi Degree College for Women,Degree College Women,LB Nagar Warangal,Hanamkonda,Private Unaided
Padmavathi Junior College Women,Junior College Women,Warangal,Hanamkonda,Private Unaided
ASM College for Women,Degree College Women,Warangal,Hanamkonda,Private Aided
Sri Visweswara Sanskrita Andhra Degree Oriental & PG College,Degree & PG College,Warangal,Hanamkonda,Private Aided
Akarapu Sharath Chandrika Devi Memorial Degree & PG College for Women,Degree & PG College Women,Warangal,Hanamkonda,Private Unaided
AVV Degree College,Degree College,Warangal,Hanamkonda,Private Unaided
CKM Arts & Science College,Degree College,Desaipet Warangal,Hanamkonda,Private Unaided
Padishala Veerabhadraiah Memorial Degree College for Women,Degree College Women,Warangal,Hanamkonda,Private Unaided
Kanishka Womens Degree College,Degree College Women,Bheemaram Hanamkonda,Hanamkonda,Private Unaided
Mathru Sri Degree College for Women,Degree College Women,Bheemaram Hanamkonda,Hanamkonda,Private Unaided
Keshava Degree College for Women,Degree College Women,Bheemaram Hanamkonda,Hanamkonda,Private Unaided
Shivani Degree College,Degree College,Bheemaram Hanamkonda,Hanamkonda,Private Unaided
Sri Chaitanya Womens Degree College,Degree College Women,Bheemaram Hanamkonda,Hanamkonda,Private Unaided
Goutham Degree & PG College,Degree & PG College,Kishanpura Hanamkonda,Hanamkonda,Private Unaided
Chaitanya P.G. College Autonomous,PG College,Kishanpura Hanamkonda,Hanamkonda,Private Unaided
SVS Polytechnic,Polytechnic College,Hanamkonda,Hanamkonda,Private Unaided
St. Peter's College of Education,B.Ed College,Hanamkonda,Hanamkonda,Private Unaided
Siddhartha Degree College,Degree College,Narsampet,Hanamkonda,Private Unaided
Siddartha Junior College,Junior College,Narsampet,Hanamkonda,Private Unaided
Acharya Degree College,Degree College,Dwarakapet Road Narsampet,Hanamkonda,Private Unaided
KS Mahila Degree College,Degree College Women,Narsampet,Hanamkonda,Private Unaided
SV Degree College,Degree College,Parkal,Hanamkonda,Private Unaided
Dr. MR Reddy Degree College,Degree College,Parkal,Hanamkonda,Private Unaided
Ganapathy Degree College,Degree College,Parkal,Hanamkonda,Private Unaided
Maharshi Degree College,Degree College,Mulugu,Hanamkonda,Private Unaided
Maharshi Degree College,Degree College,Palakurthy,Hanamkonda,Private Unaided
Maharshi Degree College,Degree College,Kesamudram,Hanamkonda,Private Unaided
Nalanda Degree College,Degree College,Mulugu,Hanamkonda,Private Unaided
Sri Chaitanya Degree College,Degree College,Cherial,Hanamkonda,Private Unaided
SRK Degree College,Degree College,Cherial,Hanamkonda,Private Unaided
Nethaji Degree College,Degree College,Cherial,Hanamkonda,Private Unaided
Government Degree College,Degree College,Cherial,Hanamkonda,Government
Sindhuja Degree College,Degree College,Narmetta,Hanamkonda,Private Unaided
Gayatri Degree College,Degree College,Pasra Govindaraopet Mulugu,Hanamkonda,Private Unaided
Bishop Azraiah Degree College,Degree College,Dornakal,Hanamkonda,Private Unaided
SS Degree College,Degree College,Geesugonda Dharmaram,Hanamkonda,Private Unaided
RRM Degree College,Degree College,Jangaon,Hanamkonda,Private Unaided
ABV Degree College,Degree College,Jangaon,Hanamkonda,Private Unaided
Ekashila Degree College,Degree College,Jangaon,Hanamkonda,Private Unaided
Sri Vidya Degree College,Degree College,Jangaon,Hanamkonda,Private Unaided
Sri Aurobindo Degree College,Degree College,Jangaon,Hanamkonda,Private Unaided
Sahithi Degree College,Degree College,Jangaon,Hanamkonda,Private Unaided
MJPTCWDR Degree College Women,Residential Degree College Women,Station Ghanpur,Hanamkonda,Government TBCW
Vidya Jyothi Degree & PG College,Degree & PG College,Station Ghanpur,Hanamkonda,Private Unaided
TTWRDC Telangana Tribal Welfare Residential Degree College,Residential Degree College,Jangaon,Hanamkonda,Government Tribal Welfare
Kakatiya University,State University,Vidyaranyapuri Hanamkonda,Hanamkonda,Government State University
Satavahana University,State University,Jyothinagar Karimnagar,Karimnagar,Government State University
Jawaharlal Nehru Technological University Hyderabad JNTUH,State Technical University,Kukatpally Hyderabad,Hyderabad,Government State University
Osmania University,State University,Amberpet Hyderabad,Hyderabad,Government State University
Dr. B.R. Ambedkar Open University,Open University,Jubilee Hills Hyderabad,Hyderabad,Government State University
Palamuru University,State University,Bandameedipally Mahabubnagar,Mahabubnagar,Government State University
Mahatma Gandhi University,State University,Yella Reddy Gudem Nalgonda,Nalgonda,Government State University
Telangana University,State University,Dichpally Nizamabad,Nizamabad,Government State University
Potti Sreeramulu Telugu University,State University,Lalitakala Kshetram Hyderabad,Hyderabad,Government State University
Jawaharlal Nehru Architecture and Fine Arts University,State University,Masab Tank Hyderabad,Hyderabad,Government State University
University of Hyderabad UoH,Central University,Gachibowli Hyderabad,Hyderabad,Government Central University
Maulana Azad National Urdu University MANUU,Central University,Gachibowli Hyderabad,Hyderabad,Government Central University
English and Foreign Languages University EFLU,Central University,OU Campus Hyderabad,Hyderabad,Government Central University
Kaloji Narayana Rao University of Health Sciences KNRUHS,State Health Sciences University,Warangal,Warangal Urban,Government State University
NALSAR University of Law,State Law University,Shamirpet Hyderabad,Rangareddy,Government State University
Professor Jayashankar Telangana State Agricultural University PJTSAU,State Agricultural University,Rajendranagar Hyderabad,Rangareddy,Government State University
Sri Konda Laxman Telangana State Horticultural University SKLTSHU,State Horticultural University,Hyderabad,Hyderabad,Government State University
Sri P.V. Narsimha Rao Telangana State Veterinary University PVNRTSVU,State Veterinary University,Hyderabad,Hyderabad,Government State University
Rajiv Gandhi University of Knowledge Technologies RGUKT,State University,Basar Nirmal,Nirmal,Government State University
International Institute of Information Technology Hyderabad IIITH,Deemed University,Gachibowli Hyderabad,Hyderabad,Deemed
ICFAI Foundation for Higher Education IFHE,Deemed University,Donthanpally Sankarpalli Road,Rangareddy,Deemed
Indian Institute of Technology Hyderabad IITH,Institute of National Importance,Kandi Sangareddy,Sangareddy,Government INI
National Institute of Technology Warangal NITW,Institute of National Importance,Warangal,Warangal Urban,Government INI
National Institute of Fashion Technology Hyderabad NIFTH,Institute of National Importance,Madhapur Hyderabad,Hyderabad,Government INI
Mahindra University,Private University,Bahadurpally Hyderabad,Hyderabad,Private
Woxsen University,Private University,Kandlakoya Hyderabad,Hyderabad,Private
Anurag University,Private University,Venkatapur Hyderabad,Rangareddy,Private
Malla Reddy University,Private University,Maisammaguda Hyderabad,Medchal Malkajgiri,Private
SR University,Private University,Warangal,Warangal Urban,Private
Chaitanya University,Private University,Kishanpura Hanamkonda,Hanamkonda,Private
Sreenidhi University,Private University,Ghatkesar Hyderabad,Rangareddy,Private
Nizam's Institute of Medical Sciences NIMS,State Medical Institute,Punjagutta Hyderabad,Hyderabad,Government State Medical
Acharya N.G. Ranga Agricultural University,State Agricultural University,Rajendranagar Hyderabad,Rangareddy,Government State Agricultural
Veeranari Chakali Ilamma Women's University,State University,Not Specified,Telangana,Government State University
Dr. Manmohan Singh Earth Sciences University,State University,Not Specified,Telangana,Government State University
Kaveri University,Private University,Not Specified,Telangana,Private
Vignan's Foundation for Science Technology & Research VFSTR,Private University,Guntur Vadlamudi,Andhra Pradesh Serves Telangana,Private
Aurora Higher Education & Research Academy,Deemed University,Hyderabad,Hyderabad,Deemed
St. Anns College for Women,Government Aided Degree College (Women),Hyderabad,Hyderabad,Government Aided
University College of Arts & Social Sciences,University Constituent College,Osmania University Campus,Hyderabad,University
University College of Commerce & Business Management,University Constituent College,Osmania University Campus,Hyderabad,University
University College of Science,University Constituent College,Osmania University Campus,Hyderabad,University
University College of Law,University Constituent College,Osmania University Campus,Hyderabad,University
University College of Engineering (UCE) Osmania University,University Engineering College,Osmania University Campus,Hyderabad,University
P. G. College of Law,University Constituent College,Basheerbagh,Hyderabad,University
Chaitanya Bharathi Institute of Technology (CBIT),Engineering College,Gandipet,Hyderabad,Private Unaided
Muffakham Jah College of Engineering and Technology,Engineering College,Banjara Hills,Hyderabad,Private Unaided
Vasavi College of Engineering,Engineering College,Ibrahimbagh,Hyderabad,Private Unaided
Maturi Venkata Subba Rao Engineering College (MVSR),Engineering College,Nadergul,Hyderabad,Private Unaided
Methodist College of Engineering and Technology,Engineering College,Abids,Hyderabad,Private Unaided
St. Martin's Engineering College,Engineering College,Dhulapally,Hyderabad,Private Unaided
Gokaraju Rangaraju Institute of Engineering and Technology (GRIET),Engineering College,Bachupally,Hyderabad,Private Unaided
CMR College of Engineering & Technology,Engineering College,Kondlakoya,Hyderabad,Private Unaided
Malla Reddy Engineering College (Autonomous),Engineering College,Maisammaguda,Hyderabad,Private Unaided
VNR Vignana Jyothi Institute of Engineering and Technology,Engineering College,Nizampet,Hyderabad,Private Unaided
Vignana Bharathi Institute of Technology (VBIT),Engineering College,Ghatkesar,Hyderabad,Private Unaided
Mahatma Gandhi Institute of Technology (MGIT),Engineering College,Gandipet,Hyderabad,Private Unaided
Guru Nanak Institutions Technical Campus,Engineering College,Ibrahimpatnam,Hyderabad,Private Unaided
Sphoorthy Engineering College,Engineering College,Nadergul,Hyderabad,Private Unaided
Aurora's Technological & Research Institute,Engineering College,Bandlaguda,Hyderabad,Private Unaided
CVR College of Engineering,Engineering College,Ibrahimpatnam,Hyderabad,Private Unaided
Sreenidhi Institute of Science and Technology,Engineering College,Yamnampet,Hyderabad,Private Unaided
K G Reddy College of Engineering and Technology,Engineering College,Moinabad,Hyderabad,Private Unaided
Hyderabad Institute of Technology and Management (HITAM),Engineering College,Gowdavelli,Hyderabad,Private Unaided
Avanthi Institute of Engineering & Technology,Engineering College,Cherlapally,Hyderabad,Private Unaided
B.V. Raju Institute of Technology (BVRIT),Engineering College,Narsapur,Hyderabad,Private Unaided
Sri Indu College of Engineering & Technology,Engineering College,Sheriguda,Hyderabad,Private Unaided
ACE Engineering College,Engineering College,Ghatkesar,Hyderabad,Private Unaided
Sree Dattha Institute of Engineering and Science,Engineering College,Sheriguda,Hyderabad,Private Unaided
Khader Memorial College of Engineering & Technology,Engineering College,Hyderabad,Hyderabad,Private Unaided
Ganapathy Engineering College,Engineering College,Hyderabad,Hyderabad,Private Unaided
Bharat Institute of Engineering and Technology,Engineering College,Mangalpally,Hyderabad,Private Unaided
MLR Institute of Technology,Engineering College,Dundigal,Hyderabad,Private Unaided
Anurag Engineering College,Engineering College,Ananthagiri,Hyderabad,Private Unaided
Sridevi Women's Engineering College,Engineering College (Women),Gopanpally,Hyderabad,Private Unaided
Nalla Narasimha Reddy Education Society's Group of Institutions,Engineering College,Chowdariguda,Hyderabad,Private Unaided
Chilkur Balaji College of Pharmacy,Pharmacy College,Hyderabad,Hyderabad,Private Unaided
Sri Venkateshwara College of Pharmacy,Pharmacy College,Hyderabad,Hyderabad,Private Unaided
St. Mary's College of Pharmacy,Pharmacy College,Hyderabad,Hyderabad,Private Unaided
Global College of Pharmacy,Pharmacy College,Hyderabad,Hyderabad,Private Unaided
Sri Ramachandra College of Pharmacy,Pharmacy College,Hyderabad,Hyderabad,Private Unaided
Osmania Medical College,Medical College,Koti,Hyderabad,Government
Gandhi Medical College,Medical College,Secunderabad,Hyderabad,Government
Government Medical College,Medical College,Siddipet,Hyderabad,Government
Shadan Institute of Medical Sciences,Medical College,Hyderabad,Hyderabad,Private Unaided
Apollo Institute of Medical Sciences and Research,Medical College,Hyderabad,Hyderabad,Private Unaided
Government College of Nursing,Government Nursing College,Hyderabad,Hyderabad,Government
St. Francis College for Women,Degree College (Women),Hyderabad,Hyderabad,Private Unaided
St. Mary's Degree College,Degree College,Hyderabad,Hyderabad,Private Unaided
St. Joseph's Degree College,LLP College,Hyderabad,Hyderabad,Private Unaided
Badruka College of Commerce,Degree College,Hyderabad,Hyderabad,Private Unaided
A.V. College of Arts Science Commerce,Degree College,Hyderabad,Hyderabad,Private Unaided
Government Polytechnic,Polytechnic College,Hyderabad,Hyderabad,Government
Institute of Hotel Management Catering Technology & Applied Nutrition (IHM),Hotel Management College,Hyderabad,Hyderabad,Government
Osmania University College of Law,Law College,Hyderabad,Hyderabad,University
Sultan-ul-Uloom College of Law,Law College,Hyderabad,Hyderabad,Private Unaided
IBS Business School,Management College,Hyderabad,Hyderabad,Private Unaided
Forest College & Research Institute (FCRI),Specialized College,Hyderabad,Hyderabad,Government
Faculty of Anthropology University of Hyderabad,Specialized College,Gachibowli,Hyderabad,University
Niraj College of Hotel Management and Catering Technology,Hotel Management College,Hyderabad,Hyderabad,Private Unaided
Government Degree College,Government Degree College,Jagtial,Jagtial,Government
Jagtial College of Engineering and Technology,Engineering College,Jagtial,Jagtial,Private Unaided
Sri Chaitanya Degree College,Degree College,Jagtial,Jagtial,Private Unaided
Sri Saraswathi Degree College,Degree College,Jagtial,Jagtial,Private Unaided
Government Degree College,Government Degree College,Jangaon,Jangaon,Government
ABV Government Degree College,Government Degree College,Jangaon,Jangaon,Government
SRK Degree College,Degree College,Jangaon,Jangaon,Private Unaided
TTWRDC (Telangana Tribal Welfare Residential Degree College),Residential Degree College,Jangaon,Jangaon,Government Tribal Welfare
Government Degree College,Government Degree College,Bhupalpally,Jayashankar Bhupalpally,Government
Government Degree College,Government Degree College,Mahadevpur,Jayashankar Bhupalpally,Government
Tribal Welfare Degree College,Residential Degree College,Kataram,Jayashankar Bhupalpally,Government Tribal Welfare
Jayashankar Degree College,Degree College,Bhupalpally,Jayashankar Bhupalpally,Private Unaided
Sri Rama Degree College,Degree College,Bhupalpally,Jayashankar Bhupalpally,Private Unaided
Government Degree College (HLC),Government Degree College,Gadwal,Jogulamba Gadwal,Government
Government Degree College,Government Degree College,Santhinagar,Jogulamba Gadwal,Government
MALD Government Degree College (Autonomous),Government Degree College,Gadwal,Jogulamba Gadwal,Government
KSR Degree College,Degree College,Gadwal,Jogulamba Gadwal,Private Unaided
Sri Chaitanya Degree College,Degree College,Gadwal,Jogulamba Gadwal,Private Unaided
Sri Sai Degree College,Degree College,Gadwal,Jogulamba Gadwal,Private Unaided
Government Polytechnic,Polytechnic College,Gadwal,Jogulamba Gadwal,Government
GDC (Autonomous) Bichukunda,Government Degree College,Bichukunda,Kamareddy,Government
GDC (Arts & Science) (Autonomous) Kamareddy,Government Degree College,Kamareddy,Kamareddy,Government
S.R.N.K. GDC (Autonomous) Banswada,Government Degree College,Banswada,Kamareddy,Government
Govt. Arts & Science College,Government Degree College,Kamareddy,Kamareddy,Government
Govt. Degree College,Government Degree College,Bodhan,Kamareddy,Government
Govt. Degree College,Government Degree College,Yellareddy,Kamareddy,Government
Govt. Degree College,Government Degree College,Bichkunda,Kamareddy,Government
Vasistha Degree & PG College,Degree College,Kamareddy,Kamareddy,Private Unaided
R.K. College of Arts, Commerce and Science,Degree College,Kamareddy,Kamareddy,Private Unaided
SV Degree College,Degree College,Pitlam,Kamareddy,Private Unaided
Rama Krishna Degree & PG College,Degree College,Kamareddy,Kamareddy,Private Unaided
Sri Ramakrishna Degree College,Degree College,Kamareddy,Kamareddy,Private Unaided
Sandeepani Degree College,Degree College,Kamareddy,Kamareddy,Private Unaided
Manjeera Degree College,Degree College,Kamareddy,Kamareddy,Private Unaided
SRK Commerce & Science College,Degree College,Kamareddy,Kamareddy,Private Unaided
PJR'S Spoorthy Degree College,Degree College,Kamareddy,Kamareddy,Private Unaided
Vijnana Bharathi Degree College,Degree College,Kamareddy,Kamareddy,Private Unaided
Karshak B.Ed College,B.Ed College,Kamareddy,Kamareddy,Private Unaided
SRR GDC (Autonomous) Karimnagar,Government Degree College,Karimnagar,Karimnagar,Government
GDC Women (Autonomous) Karimnagar,Government Degree College (Women),Karimnagar,Karimnagar,Government
Govt. Degree College for Women,Government Degree College (Women),Karimnagar,Karimnagar,Government
Govt. Degree College,Government Degree College,Mahadevapura,Karimnagar,Government
Govt. Degree College,Government Degree College,Husnabad,Karimnagar,Government
Govt. Degree College,Government Degree College,Metpally,Karimnagar,Government
Govt. Degree College,Government Degree College,Choppadandi,Karimnagar,Government
Vivekananda Institute of Technology & Science,Engineering College,Karimnagar,Karimnagar,Private Unaided
Jyothishmathi Institute of Technology and Science,Engineering College,Nustulapur,Karimnagar,Private Unaided
Sree Chaitanya College of Engineering,Engineering College,Karimnagar,Karimnagar,Private Unaided
JNTUH College Of Engineering,Engineering College,Karimnagar,Karimnagar,University
Kamala Institute of Technology & Science,Engineering College,Karimnagar,Karimnagar,Private Unaided
Vaageswari Engineering College,Engineering College,Karimnagar,Karimnagar,Private Unaided
Vaageswari College of Pharmacy,Pharmacy College,Karimnagar,Karimnagar,Private Unaided
SRR College of Pharmaceutical Sciences,Pharmacy College,Karimnagar,Karimnagar,Private Unaided
Vaageswari Institute of Management Sciences,Management College,Karimnagar,Karimnagar,Private Unaided
Kakatiya Institute of Management Studies,Management College,Karimnagar,Karimnagar,Private Unaided
Sri Chaitanya Degree and PG College,Degree College,Karimnagar,Karimnagar,Private Unaided
Maharshi Degree College,Degree College,Godavarikhani,Karimnagar,Private Unaided
Vanisri Degree College,Degree College,Karimnagar,Karimnagar,Private Unaided
Alphores Womens Degree & PG College,Degree College (Women),Karimnagar,Karimnagar,Private Unaided
Sri Chaitanya Degree College,Degree College,Godavarikhani,Karimnagar,Private Unaided
